,,country,year,life_expectancy
4593,173,Panama,1817,32.9
4594,174,Papua New Guinea,1817,31.5
4595,175,Paraguay,1817,35.5
4596,176,Peru,1817,35.7
4597,177,Philippines,1817,30.9
4598,178,Pitcairn,1817,
4599,179,Poland,1817,35.9
4600,180,Portugal,1817,35.6
4601,181,Puerto Rico,1817,30.43
4602,182,Qatar,1817,30.8
4603,183,Reunion,1817,33.0
4604,184,Romania,1817,35.7
4605,185,Russia,1817,29.57
4606,186,Rwanda,1817,31.8
4607,187,St. Barth̩lemy,1817,
4608,188,St. Helena,1817,
4609,189,St. Kitts and Nevis,1817,
4610,190,St. Lucia,1817,28.01
4611,191,St. Martin,1817,
4612,192,St. Vincent and the Grenadines,1817,25.99
4613,193,St.-Pierre-et-Miquelon,1817,
4614,194,Samoa,1817,25.4
4615,195,San Marino,1817,
4616,196,Sao Tome and Principe,1817,31.0
4617,197,Saudi Arabia,1817,32.1
4618,198,Senegal,1817,25.2
4619,199,Serbia,1817,35.5
4620,200,Serbia and Montenegro,1817,
4621,201,Serbia excluding Kosovo,1817,
4622,202,Seychelles,1817,37.0
4623,203,Sierra Leone,1817,25.1
4624,204,Singapore,1817,29.1
4625,205,Slovak Republic,1817,36.4
4626,206,Slovenia,1817,36.6
4627,207,Solomon Islands,1817,25.1
4628,208,Somalia,1817,29.4
4629,209,Somaliland,1817,
4630,210,South Africa,1817,33.5
4631,211,South Ossetia,1817,
4632,212,Spain,1817,29.5
4633,213,Sri Lanka,1817,32.6
4634,214,Sudan,1817,31.4
4635,215,Suriname,1817,32.9
4636,216,Svalbard,1817,
4637,217,Swaziland,1817,32.3
4638,218,Sweden,1817,40.29
4639,219,Switzerland,1817,38.0
4640,220,Syria,1817,31.1
4641,221,Taiwan,1817,28.3
4642,222,Tajikistan,1817,24.24
4643,223,Tanzania,1817,32.2
4644,224,Thailand,1817,30.4
4645,225,Timor-Leste,1817,28.95
4646,226,Togo,1817,31.3
4647,227,Tokelau,1817,
4648,228,Tonga,1817,28.2
4649,229,Transnistria,1817,
4650,230,Trinidad and Tobago,1817,32.9
4651,231,Tunisia,1817,28.8
4652,232,Turkey,1817,35.0
4653,233,Turkmenistan,1817,24.0
4654,234,Turks and Caicos Islands,1817,
4655,235,Tuvalu,1817,
4656,236,Uganda,1817,25.3
4657,237,Ukraine,1817,36.6
4658,238,United Arab Emirates,1817,30.7
4659,239,United Kingdom,1817,41.04
4660,240,United States,1817,39.41
4661,241,Uruguay,1817,32.9
4662,242,USSR,1817,
4663,243,Uzbekistan,1817,26.93
4664,244,Wallis et Futuna,1817,
4665,245,Vanuatu,1817,24.3
4666,246,Venezuela,1817,32.2
4667,247,West Bank and Gaza,1817,32.1
4668,248,West Germany,1817,
4669,249,Western Sahara,1817,34.75
4670,250,Vietnam,1817,32.0
4671,251,Virgin Islands (U.S.),1817,33.4
4672,252,North Yemen (former),1817,
4673,253,South Yemen (former),1817,
4674,254,Yemen,1817,23.39
4675,255,Yugoslavia,1817,
4676,256,Zambia,1817,32.6
4677,257,Zimbabwe,1817,33.7
4678,258,��land,1817,
4679,259,South Sudan,1817,26.67
4680,0,Abkhazia,1818,
4681,1,Afghanistan,1818,28.03
4682,2,Akrotiri and Dhekelia,1818,
4683,3,Albania,1818,35.4
4684,4,Algeria,1818,28.82
4685,5,American Samoa,1818,
4686,6,Andorra,1818,
4687,7,Angola,1818,26.98
4688,8,Anguilla,1818,
4689,9,Antigua and Barbuda,1818,33.54
4690,10,Argentina,1818,33.2
4691,11,Armenia,1818,34.0
4692,12,Aruba,1818,34.42
4693,13,Australia,1818,34.05
4694,14,Austria,1818,34.4
4695,15,Azerbaijan,1818,29.17
4696,16,Bahamas,1818,35.18
4697,17,Bahrain,1818,30.3
4698,18,Bangladesh,1818,25.5
4699,19,Barbados,1818,32.12
4700,20,Belarus,1818,36.2
4701,21,Belgium,1818,40.14
4702,22,Belize,1818,26.5
4703,23,Benin,1818,31.0
4704,24,Bermuda,1818,
4705,25,Bhutan,1818,28.8
4706,26,Bolivia,1818,33.0
4707,27,Bosnia and Herzegovina,1818,35.1
4708,28,Botswana,1818,33.6
4709,29,Brazil,1818,32.0
4710,30,British Virgin Islands,1818,
4711,31,Brunei,1818,29.2
4712,32,Bulgaria,1818,36.59
4713,33,Burkina Faso,1818,29.2
4714,34,Burundi,1818,31.5
4715,35,Cambodia,1818,35.0
4716,36,Cameroon,1818,28.75
4717,37,Canada,1818,39.03
4718,38,Cape Verde,1818,33.8
4719,39,Cayman Islands,1818,
4720,40,Central African Republic,1818,30.0
4721,41,Chad,1818,30.9
4722,42,Channel Islands,1818,
4723,43,Chile,1818,32.0
4724,44,China,1818,32.0
4725,45,Christmas Island,1818,
4726,46,Cocos Island,1818,
4727,47,Colombia,1818,32.0
4728,48,Comoros,1818,32.1
4729,49,"Congo, Dem. Rep.",1818,31.6
4730,50,"Congo, Rep.",1818,32.7
4731,51,Cook Is,1818,
4732,52,Costa Rica,1818,30.21
4733,53,Cote d'Ivoire,1818,31.16
4734,54,Croatia,1818,36.1
4735,55,Cuba,1818,34.6
4736,56,Cyprus,1818,38.5
4737,57,Czech Republic,1818,34.95
4738,58,Czechoslovakia,1818,
4739,59,Denmark,1818,46.38
4740,60,Djibouti,1818,29.9
4741,61,Dominica,1818,
4742,62,Dominican Republic,1818,29.9
4743,63,East Germany,1818,
4744,64,Ecuador,1818,32.9
4745,65,Egypt,1818,33.0
4746,66,El Salvador,1818,28.7
4747,67,Equatorial Guinea,1818,29.8
4748,68,Eritrea,1818,30.2
4749,69,Eritrea and Ethiopia,1818,
4750,70,Estonia,1818,41.24
4751,71,Ethiopia,1818,29.7
4752,72,Faeroe Islands,1818,
4753,73,Falkland Is (Malvinas),1818,
4754,74,Fiji,1818,26.1
4755,75,Finland,1818,37.17
4756,76,France,1818,38.53
4757,77,French Guiana,1818,30.5
4758,78,French Polynesia,1818,25.6
4759,79,Gabon,1818,30.6
4760,80,Gambia,1818,28.8
4761,81,Georgia,1818,31.87
4762,82,Germany,1818,38.37
4763,83,Ghana,1818,28.0
4764,84,Gibraltar,1818,
4765,85,Greece,1818,36.6
4766,86,Greenland,1818,33.87
4767,87,Grenada,1818,31.4
4768,88,Guadeloupe,1818,27.66
4769,89,Guam,1818,27.5
4770,90,Guatemala,1818,25.8
4771,91,Guernsey,1818,
4772,92,Guinea,1818,29.69
4773,93,Guinea-Bissau,1818,32.0
4774,94,Guyana,1818,31.12
4775,95,Haiti,1818,29.0
4776,96,Holy See,1818,
4777,97,Honduras,1818,33.9
4778,98,"Hong Kong, China",1818,34.9
4779,99,Hungary,1818,36.0
4780,100,Iceland,1818,43.48
4781,101,India,1818,25.44
4782,102,Indonesia,1818,30.0
4783,103,Iran,1818,25.6
4784,104,Iraq,1818,31.2
4785,105,Ireland,1818,38.3
4786,106,Isle of Man,1818,
4787,107,Israel,1818,32.0
4788,108,Italy,1818,29.69
4789,109,Jamaica,1818,34.2
4790,110,Japan,1818,36.41
4791,111,Jersey,1818,
4792,112,Jordan,1818,31.7
4793,113,Kazakhstan,1818,26.2
4794,114,Kenya,1818,25.5
4795,115,Kiribati,1818,24.9
4796,116,North Korea,1818,26.0
4797,117,South Korea,1818,25.8
4798,118,"United Korea (former)
",1818,
4799,119,Kosovo,1818,
4800,120,Kuwait,1818,26.0
4801,121,Kyrgyz Republic,1818,23.94
4802,122,Lao,1818,31.9
4803,123,Latvia,1818,33.0
4804,124,Lebanon,1818,29.7
4805,125,Lesotho,1818,32.8
4806,126,Liberia,1818,31.1
4807,127,Libya,1818,33.1
4808,128,Liechtenstein,1818,
4809,129,Lithuania,1818,28.9
4810,130,Luxembourg,1818,36.9
4811,131,"Macao, China",1818,34.7
4812,132,"Macedonia, FYR",1818,36.1
4813,133,Madagascar,1818,30.5
4814,134,Malawi,1818,30.3
4815,135,Malaysia,1818,30.6
4816,136,Maldives,1818,32.65
4817,137,Mali,1818,26.41
4818,138,Malta,1818,28.7
4819,139,Marshall Islands,1818,
4820,140,Martinique,1818,30.15
4821,141,Mauritania,1818,32.0
4822,142,Mauritius,1818,28.7
4823,143,Mayotte,1818,32.5
4824,144,Mexico,1818,26.9
4825,145,"Micronesia, Fed. Sts.",1818,26.7
4826,146,Moldova,1818,33.15
4827,147,Monaco,1818,
4828,148,Mongolia,1818,31.8
4829,149,Montenegro,1818,35.4
4830,150,Montserrat,1818,
4831,151,Morocco,1818,33.1
4832,152,Mozambique,1818,30.28
4833,153,Myanmar,1818,30.8
4834,154,Namibia,1818,32.4
4835,155,Nauru,1818,
4836,156,Nepal,1818,32.8
4837,157,Netherlands,1818,39.86
4838,158,Netherlands Antilles,1818,34.41
4839,159,New Caledonia,1818,26.0
4840,160,New Zealand,1818,34.05
4841,161,Ngorno-Karabakh,1818,
4842,162,Nicaragua,1818,25.4
4843,163,Niger,1818,30.8
4844,164,Nigeria,1818,30.4
4845,165,Niue,1818,
4846,166,Norfolk Island,1818,
4847,167,Northern Cyprus,1818,
4848,168,Northern Mariana Islands,1818,
4849,169,Norway,1818,46.75
4850,170,Oman,1818,32.3
4851,171,Pakistan,1818,25.8
4852,172,Palau,1818,
4853,173,Panama,1818,32.9
4854,174,Papua New Guinea,1818,31.5
4855,175,Paraguay,1818,35.5
4856,176,Peru,1818,35.7
4857,177,Philippines,1818,30.9
4858,178,Pitcairn,1818,
4859,179,Poland,1818,35.9
4860,180,Portugal,1818,35.6
4861,181,Puerto Rico,1818,30.43
4862,182,Qatar,1818,30.8
4863,183,Reunion,1818,33.0
4864,184,Romania,1818,35.7
4865,185,Russia,1818,29.57
4866,186,Rwanda,1818,31.8
4867,187,St. Barth̩lemy,1818,
4868,188,St. Helena,1818,
4869,189,St. Kitts and Nevis,1818,
4870,190,St. Lucia,1818,28.01
4871,191,St. Martin,1818,
4872,192,St. Vincent and the Grenadines,1818,25.99
4873,193,St.-Pierre-et-Miquelon,1818,
4874,194,Samoa,1818,25.4
4875,195,San Marino,1818,
4876,196,Sao Tome and Principe,1818,31.0
4877,197,Saudi Arabia,1818,32.1
4878,198,Senegal,1818,25.2
4879,199,Serbia,1818,35.5
4880,200,Serbia and Montenegro,1818,
4881,201,Serbia excluding Kosovo,1818,
4882,202,Seychelles,1818,37.0
4883,203,Sierra Leone,1818,25.1
4884,204,Singapore,1818,29.1
4885,205,Slovak Republic,1818,36.4
4886,206,Slovenia,1818,36.6
4887,207,Solomon Islands,1818,25.1
4888,208,Somalia,1818,29.4
4889,209,Somaliland,1818,
4890,210,South Africa,1818,33.5
4891,211,South Ossetia,1818,
4892,212,Spain,1818,29.5
4893,213,Sri Lanka,1818,32.6
4894,214,Sudan,1818,31.4
4895,215,Suriname,1818,32.9
4896,216,Svalbard,1818,
4897,217,Swaziland,1818,32.3
4898,218,Sweden,1818,40.02
4899,219,Switzerland,1818,38.0
4900,220,Syria,1818,31.1
4901,221,Taiwan,1818,28.3
4902,222,Tajikistan,1818,24.24
4903,223,Tanzania,1818,32.2
4904,224,Thailand,1818,30.4
4905,225,Timor-Leste,1818,28.95
4906,226,Togo,1818,31.3
4907,227,Tokelau,1818,
4908,228,Tonga,1818,28.2
4909,229,Transnistria,1818,
4910,230,Trinidad and Tobago,1818,32.9
4911,231,Tunisia,1818,5.5
4912,232,Turkey,1818,35.0
4913,233,Turkmenistan,1818,24.0
4914,234,Turks and Caicos Islands,1818,
4915,235,Tuvalu,1818,
4916,236,Uganda,1818,25.3
4917,237,Ukraine,1818,36.6
4918,238,United Arab Emirates,1818,30.7
4919,239,United Kingdom,1818,39.85
4920,240,United States,1818,39.41
4921,241,Uruguay,1818,32.9
4922,242,USSR,1818,
4923,243,Uzbekistan,1818,26.93
4924,244,Wallis et Futuna,1818,
4925,245,Vanuatu,1818,24.3
4926,246,Venezuela,1818,32.2
4927,247,West Bank and Gaza,1818,32.1
4928,248,West Germany,1818,
4929,249,Western Sahara,1818,34.75
4930,250,Vietnam,1818,32.0
4931,251,Virgin Islands (U.S.),1818,33.4
4932,252,North Yemen (former),1818,
4933,253,South Yemen (former),1818,
4934,254,Yemen,1818,23.39
4935,255,Yugoslavia,1818,
4936,256,Zambia,1818,32.6
4937,257,Zimbabwe,1818,33.7
4938,258,��land,1818,
4939,259,South Sudan,1818,26.67
4940,0,Abkhazia,1819,
4941,1,Afghanistan,1819,28.02
4942,2,Akrotiri and Dhekelia,1819,
4943,3,Albania,1819,35.4
4944,4,Algeria,1819,28.82
4945,5,American Samoa,1819,
4946,6,Andorra,1819,
4947,7,Angola,1819,26.98
4948,8,Anguilla,1819,
4949,9,Antigua and Barbuda,1819,33.54
4950,10,Argentina,1819,33.2
4951,11,Armenia,1819,34.0
4952,12,Aruba,1819,34.42
4953,13,Australia,1819,34.05
4954,14,Austria,1819,34.4
4955,15,Azerbaijan,1819,29.17
4956,16,Bahamas,1819,35.18
4957,17,Bahrain,1819,30.3
4958,18,Bangladesh,1819,25.5
4959,19,Barbados,1819,32.12
4960,20,Belarus,1819,36.2
4961,21,Belgium,1819,40.15
4962,22,Belize,1819,26.5
4963,23,Benin,1819,31.0
4964,24,Bermuda,1819,
4965,25,Bhutan,1819,28.8
4966,26,Bolivia,1819,33.0
4967,27,Bosnia and Herzegovina,1819,35.1
4968,28,Botswana,1819,33.6
4969,29,Brazil,1819,32.0
4970,30,British Virgin Islands,1819,
4971,31,Brunei,1819,29.2
4972,32,Bulgaria,1819,36.64
4973,33,Burkina Faso,1819,29.2
4974,34,Burundi,1819,31.5
4975,35,Cambodia,1819,35.0
4976,36,Cameroon,1819,28.75
4977,37,Canada,1819,39.03
4978,38,Cape Verde,1819,33.8
4979,39,Cayman Islands,1819,
4980,40,Central African Republic,1819,30.0
4981,41,Chad,1819,30.9
4982,42,Channel Islands,1819,
4983,43,Chile,1819,32.0
4984,44,China,1819,32.0
4985,45,Christmas Island,1819,
4986,46,Cocos Island,1819,
4987,47,Colombia,1819,32.0
4988,48,Comoros,1819,32.1
4989,49,"Congo, Dem. Rep.",1819,31.6
4990,50,"Congo, Rep.",1819,32.7
4991,51,Cook Is,1819,
4992,52,Costa Rica,1819,30.21
4993,53,Cote d'Ivoire,1819,31.16
4994,54,Croatia,1819,36.1
4995,55,Cuba,1819,34.7
4996,56,Cyprus,1819,38.5
4997,57,Czech Republic,1819,34.95
4998,58,Czechoslovakia,1819,
4999,59,Denmark,1819,45.26
5000,60,Djibouti,1819,29.9
5001,61,Dominica,1819,
5002,62,Dominican Republic,1819,29.9
5003,63,East Germany,1819,
5004,64,Ecuador,1819,32.9
5005,65,Egypt,1819,33.0
5006,66,El Salvador,1819,28.7
5007,67,Equatorial Guinea,1819,29.8
5008,68,Eritrea,1819,30.2
5009,69,Eritrea and Ethiopia,1819,
5010,70,Estonia,1819,42.32
5011,71,Ethiopia,1819,29.7
5012,72,Faeroe Islands,1819,
5013,73,Falkland Is (Malvinas),1819,
5014,74,Fiji,1819,26.1
5015,75,Finland,1819,35.03
5016,76,France,1819,37.25
5017,77,French Guiana,1819,30.5
5018,78,French Polynesia,1819,25.6
5019,79,Gabon,1819,30.6
5020,80,Gambia,1819,28.8
5021,81,Georgia,1819,31.87
5022,82,Germany,1819,38.37
5023,83,Ghana,1819,28.0
5024,84,Gibraltar,1819,
5025,85,Greece,1819,36.6
5026,86,Greenland,1819,33.87
5027,87,Grenada,1819,31.4
5028,88,Guadeloupe,1819,27.66
5029,89,Guam,1819,27.5
5030,90,Guatemala,1819,25.8
5031,91,Guernsey,1819,
5032,92,Guinea,1819,29.7
5033,93,Guinea-Bissau,1819,32.0
5034,94,Guyana,1819,31.12
5035,95,Haiti,1819,29.0
5036,96,Holy See,1819,
5037,97,Honduras,1819,33.9
5038,98,"Hong Kong, China",1819,34.9
5039,99,Hungary,1819,36.0
5040,100,Iceland,1819,36.82
5041,101,India,1819,25.44
5042,102,Indonesia,1819,30.0
5043,103,Iran,1819,25.6
5044,104,Iraq,1819,31.2
5045,105,Ireland,1819,38.3
5046,106,Isle of Man,1819,
5047,107,Israel,1819,32.0
5048,108,Italy,1819,29.69
5049,109,Jamaica,1819,34.2
5050,110,Japan,1819,36.41
5051,111,Jersey,1819,
5052,112,Jordan,1819,31.7
5053,113,Kazakhstan,1819,26.2
5054,114,Kenya,1819,25.5
5055,115,Kiribati,1819,24.9
5056,116,North Korea,1819,26.0
5057,117,South Korea,1819,25.8
5058,118,"United Korea (former)
",1819,
5059,119,Kosovo,1819,
5060,120,Kuwait,1819,26.0
5061,121,Kyrgyz Republic,1819,23.94
5062,122,Lao,1819,31.9
5063,123,Latvia,1819,33.0
5064,124,Lebanon,1819,29.7
5065,125,Lesotho,1819,32.8
5066,126,Liberia,1819,31.1
5067,127,Libya,1819,33.1
5068,128,Liechtenstein,1819,
5069,129,Lithuania,1819,28.9
5070,130,Luxembourg,1819,36.9
5071,131,"Macao, China",1819,34.7
5072,132,"Macedonia, FYR",1819,36.1
5073,133,Madagascar,1819,30.5
5074,134,Malawi,1819,30.3
5075,135,Malaysia,1819,30.6
5076,136,Maldives,1819,32.65
5077,137,Mali,1819,26.41
5078,138,Malta,1819,28.7
5079,139,Marshall Islands,1819,
5080,140,Martinique,1819,30.15
5081,141,Mauritania,1819,32.0
5082,142,Mauritius,1819,28.7
5083,143,Mayotte,1819,32.5
5084,144,Mexico,1819,26.9
5085,145,"Micronesia, Fed. Sts.",1819,26.7
5086,146,Moldova,1819,33.15
5087,147,Monaco,1819,
5088,148,Mongolia,1819,31.8
5089,149,Montenegro,1819,35.4
5090,150,Montserrat,1819,
5091,151,Morocco,1819,33.1
5092,152,Mozambique,1819,30.28
5093,153,Myanmar,1819,30.8
5094,154,Namibia,1819,32.4
5095,155,Nauru,1819,
5096,156,Nepal,1819,32.8
5097,157,Netherlands,1819,39.86
5098,158,Netherlands Antilles,1819,34.41
5099,159,New Caledonia,1819,26.0
5100,160,New Zealand,1819,34.05
5101,161,Ngorno-Karabakh,1819,
5102,162,Nicaragua,1819,25.4
5103,163,Niger,1819,30.8
5104,164,Nigeria,1819,30.4
5105,165,Niue,1819,
5106,166,Norfolk Island,1819,
5107,167,Northern Cyprus,1819,
5108,168,Northern Mariana Islands,1819,
5109,169,Norway,1819,45.78
5110,170,Oman,1819,32.3
5111,171,Pakistan,1819,25.8
5112,172,Palau,1819,
5113,173,Panama,1819,32.9
5114,174,Papua New Guinea,1819,31.5
5115,175,Paraguay,1819,35.5
5116,176,Peru,1819,35.7
5117,177,Philippines,1819,30.9
5118,178,Pitcairn,1819,
5119,179,Poland,1819,35.9
5120,180,Portugal,1819,35.6
5121,181,Puerto Rico,1819,30.43
5122,182,Qatar,1819,30.8
5123,183,Reunion,1819,33.0
5124,184,Romania,1819,35.7
5125,185,Russia,1819,29.57
5126,186,Rwanda,1819,31.8
5127,187,St. Barth̩lemy,1819,
5128,188,St. Helena,1819,
5129,189,St. Kitts and Nevis,1819,
5130,190,St. Lucia,1819,28.01
5131,191,St. Martin,1819,
5132,192,St. Vincent and the Grenadines,1819,25.99
5133,193,St.-Pierre-et-Miquelon,1819,
5134,194,Samoa,1819,25.4
5135,195,San Marino,1819,
5136,196,Sao Tome and Principe,1819,31.0
5137,197,Saudi Arabia,1819,32.1
5138,198,Senegal,1819,25.2
5139,199,Serbia,1819,35.5
5140,200,Serbia and Montenegro,1819,
5141,201,Serbia excluding Kosovo,1819,
5142,202,Seychelles,1819,37.0
5143,203,Sierra Leone,1819,25.1
5144,204,Singapore,1819,29.1
5145,205,Slovak Republic,1819,36.4
5146,206,Slovenia,1819,36.6
5147,207,Solomon Islands,1819,25.1
5148,208,Somalia,1819,29.4
5149,209,Somaliland,1819,
5150,210,South Africa,1819,33.5
5151,211,South Ossetia,1819,
5152,212,Spain,1819,29.5
5153,213,Sri Lanka,1819,32.6
5154,214,Sudan,1819,31.4
5155,215,Suriname,1819,32.9
5156,216,Svalbard,1819,
5157,217,Swaziland,1819,32.3
5158,218,Sweden,1819,36.97
5159,219,Switzerland,1819,38.0
5160,220,Syria,1819,31.1
5161,221,Taiwan,1819,28.3
5162,222,Tajikistan,1819,24.24
5163,223,Tanzania,1819,32.2
5164,224,Thailand,1819,30.4
5165,225,Timor-Leste,1819,28.95
5166,226,Togo,1819,31.3
5167,227,Tokelau,1819,
5168,228,Tonga,1819,28.2
5169,229,Transnistria,1819,
5170,230,Trinidad and Tobago,1819,32.9
5171,231,Tunisia,1819,1.5
5172,232,Turkey,1819,35.0
5173,233,Turkmenistan,1819,24.0
5174,234,Turks and Caicos Islands,1819,
5175,235,Tuvalu,1819,
5176,236,Uganda,1819,25.3
5177,237,Ukraine,1819,36.6
5178,238,United Arab Emirates,1819,30.7
5179,239,United Kingdom,1819,40.52
5180,240,United States,1819,39.41
5181,241,Uruguay,1819,32.9
5182,242,USSR,1819,
5183,243,Uzbekistan,1819,26.93
5184,244,Wallis et Futuna,1819,
5185,245,Vanuatu,1819,24.3
5186,246,Venezuela,1819,32.2
5187,247,West Bank and Gaza,1819,32.1
5188,248,West Germany,1819,
5189,249,Western Sahara,1819,34.75
5190,250,Vietnam,1819,32.0
5191,251,Virgin Islands (U.S.),1819,33.4
5192,252,North Yemen (former),1819,
5193,253,South Yemen (former),1819,
5194,254,Yemen,1819,23.39
5195,255,Yugoslavia,1819,
5196,256,Zambia,1819,32.6
5197,257,Zimbabwe,1819,33.7
5198,258,��land,1819,
5199,259,South Sudan,1819,26.67
5200,0,Abkhazia,1820,
5201,1,Afghanistan,1820,28.01
5202,2,Akrotiri and Dhekelia,1820,
5203,3,Albania,1820,35.4
5204,4,Algeria,1820,28.82
5205,5,American Samoa,1820,
5206,6,Andorra,1820,
5207,7,Angola,1820,26.98
5208,8,Anguilla,1820,
5209,9,Antigua and Barbuda,1820,33.54
5210,10,Argentina,1820,33.2
5211,11,Armenia,1820,34.0
5212,12,Aruba,1820,34.42
5213,13,Australia,1820,34.05
5214,14,Austria,1820,34.4
5215,15,Azerbaijan,1820,29.17
5216,16,Bahamas,1820,35.18
5217,17,Bahrain,1820,30.3
5218,18,Bangladesh,1820,25.5
5219,19,Barbados,1820,32.12
5220,20,Belarus,1820,36.2
5221,21,Belgium,1820,40.16
5222,22,Belize,1820,26.5
5223,23,Benin,1820,31.0
5224,24,Bermuda,1820,
5225,25,Bhutan,1820,28.8
5226,26,Bolivia,1820,33.0
5227,27,Bosnia and Herzegovina,1820,35.1
5228,28,Botswana,1820,33.6
5229,29,Brazil,1820,32.0
5230,30,British Virgin Islands,1820,
5231,31,Brunei,1820,29.2
5232,32,Bulgaria,1820,36.68
5233,33,Burkina Faso,1820,29.2
5234,34,Burundi,1820,31.5
5235,35,Cambodia,1820,35.0
5236,36,Cameroon,1820,28.75
5237,37,Canada,1820,39.03
5238,38,Cape Verde,1820,33.8
5239,39,Cayman Islands,1820,
5240,40,Central African Republic,1820,30.0
5241,41,Chad,1820,30.9
5242,42,Channel Islands,1820,
5243,43,Chile,1820,32.0
5244,44,China,1820,32.0
5245,45,Christmas Island,1820,
5246,46,Cocos Island,1820,
5247,47,Colombia,1820,32.0
5248,48,Comoros,1820,32.1
5249,49,"Congo, Dem. Rep.",1820,31.6
5250,50,"Congo, Rep.",1820,32.7
5251,51,Cook Is,1820,
5252,52,Costa Rica,1820,30.21
5253,53,Cote d'Ivoire,1820,31.16
5254,54,Croatia,1820,36.1
5255,55,Cuba,1820,35.04
5256,56,Cyprus,1820,38.5
5257,57,Czech Republic,1820,34.95
5258,58,Czechoslovakia,1820,
5259,59,Denmark,1820,43.14
5260,60,Djibouti,1820,29.9
5261,61,Dominica,1820,
5262,62,Dominican Republic,1820,29.9
5263,63,East Germany,1820,
5264,64,Ecuador,1820,32.9
5265,65,Egypt,1820,33.0
5266,66,El Salvador,1820,28.7
5267,67,Equatorial Guinea,1820,29.8
5268,68,Eritrea,1820,30.2
5269,69,Eritrea and Ethiopia,1820,
5270,70,Estonia,1820,43.39
5271,71,Ethiopia,1820,29.7
5272,72,Faeroe Islands,1820,
5273,73,Falkland Is (Malvinas),1820,
5274,74,Fiji,1820,26.1
5275,75,Finland,1820,37.29
5276,76,France,1820,39.21
5277,77,French Guiana,1820,30.5
5278,78,French Polynesia,1820,25.6
5279,79,Gabon,1820,30.6
5280,80,Gambia,1820,28.8
5281,81,Georgia,1820,31.87
5282,82,Germany,1820,38.37
5283,83,Ghana,1820,28.0
5284,84,Gibraltar,1820,
5285,85,Greece,1820,36.6
5286,86,Greenland,1820,33.87
5287,87,Grenada,1820,31.4
5288,88,Guadeloupe,1820,27.66
5289,89,Guam,1820,27.5
5290,90,Guatemala,1820,25.8
5291,91,Guernsey,1820,
5292,92,Guinea,1820,29.71
5293,93,Guinea-Bissau,1820,32.0
5294,94,Guyana,1820,31.12
5295,95,Haiti,1820,29.0
5296,96,Holy See,1820,
5297,97,Honduras,1820,33.9
5298,98,"Hong Kong, China",1820,34.9
5299,99,Hungary,1820,36.0
5300,100,Iceland,1820,36.56
5301,101,India,1820,25.44
5302,102,Indonesia,1820,30.0
5303,103,Iran,1820,25.6
5304,104,Iraq,1820,31.2
5305,105,Ireland,1820,38.3
5306,106,Isle of Man,1820,
5307,107,Israel,1820,32.0
5308,108,Italy,1820,29.69
5309,109,Jamaica,1820,34.2
5310,110,Japan,1820,36.41
5311,111,Jersey,1820,
5312,112,Jordan,1820,31.7
5313,113,Kazakhstan,1820,26.2
5314,114,Kenya,1820,25.5
5315,115,Kiribati,1820,24.9
5316,116,North Korea,1820,26.0
5317,117,South Korea,1820,25.8
5318,118,"United Korea (former)
",1820,
5319,119,Kosovo,1820,
5320,120,Kuwait,1820,26.0
5321,121,Kyrgyz Republic,1820,23.94
5322,122,Lao,1820,31.9
5323,123,Latvia,1820,33.0
5324,124,Lebanon,1820,29.7
5325,125,Lesotho,1820,32.8
5326,126,Liberia,1820,31.1
5327,127,Libya,1820,33.1
5328,128,Liechtenstein,1820,
5329,129,Lithuania,1820,28.9
5330,130,Luxembourg,1820,36.9
5331,131,"Macao, China",1820,34.7
5332,132,"Macedonia, FYR",1820,36.1
5333,133,Madagascar,1820,30.5
5334,134,Malawi,1820,30.3
5335,135,Malaysia,1820,30.6
5336,136,Maldives,1820,32.65
5337,137,Mali,1820,26.41
5338,138,Malta,1820,28.7
5339,139,Marshall Islands,1820,
5340,140,Martinique,1820,30.15
5341,141,Mauritania,1820,32.0
5342,142,Mauritius,1820,28.7
5343,143,Mayotte,1820,32.5
5344,144,Mexico,1820,26.9
5345,145,"Micronesia, Fed. Sts.",1820,26.7
5346,146,Moldova,1820,33.15
5347,147,Monaco,1820,
5348,148,Mongolia,1820,31.8
5349,149,Montenegro,1820,35.4
5350,150,Montserrat,1820,
5351,151,Morocco,1820,33.1
5352,152,Mozambique,1820,30.28
5353,153,Myanmar,1820,30.8
5354,154,Namibia,1820,32.4
5355,155,Nauru,1820,
5356,156,Nepal,1820,32.8
5357,157,Netherlands,1820,39.86
5358,158,Netherlands Antilles,1820,34.41
5359,159,New Caledonia,1820,26.0
5360,160,New Zealand,1820,34.05
5361,161,Ngorno-Karabakh,1820,
5362,162,Nicaragua,1820,25.4
5363,163,Niger,1820,30.8
5364,164,Nigeria,1820,30.4
5365,165,Niue,1820,
5366,166,Norfolk Island,1820,
5367,167,Northern Cyprus,1820,
5368,168,Northern Mariana Islands,1820,
5369,169,Norway,1820,46.96
5370,170,Oman,1820,32.3
5371,171,Pakistan,1820,25.8
5372,172,Palau,1820,
5373,173,Panama,1820,32.9
5374,174,Papua New Guinea,1820,31.5
5375,175,Paraguay,1820,35.5
5376,176,Peru,1820,35.7
5377,177,Philippines,1820,30.9
5378,178,Pitcairn,1820,
5379,179,Poland,1820,35.9
5380,180,Portugal,1820,35.6
5381,181,Puerto Rico,1820,30.43
5382,182,Qatar,1820,30.8
